gene,anomaly_score
TAP1,0.0006298556
KIF5B,0.00062985014
PSEN2,0.00062962645
GPR89B,0.0006291647
ID3,0.0006286497
LIN7A,0.0006285545
HLF,0.00062822213
ZBED1,0.00062807865
RNF14,0.0006280783
TNK2,0.0006264106
FAM162A,0.00062634196
PARN,0.0006256878
CNR2,0.0006255812
CYP2D6,0.00062539097
CHMP7,0.0006252323
RORA,0.00062495575
ARFGAP2,0.00062338245
CCL13,0.00062330725
SLA,0.00062278577
GTF2F1,0.0006223968
PKLR,0.00062177156
RUNX2,0.00062172563
TLX2,0.0006209884
SH2D3A,0.000620583
IGF1,0.0006197351
CCR4,0.0006194755
CBR1,0.00061906996
CLK2,0.0006183277
MAPK4,0.0006181699
SOX4,0.00061807246
DNAJC2,0.00061773567
TTC26,0.0006176313
MIS12,0.0006173912
TRPV6,0.00061732176
NOC4L,0.00061713887
ANXA9,0.00061693415
HDAC1,0.0006168545
BRF1,0.00061663357
WAC,0.0006157786
HNRNPA0,0.00061558554
XRCC1,0.0006154424
PDCD11,0.00061517465
IGSF3,0.0006148454
TMEM115,0.0006145019
CD69,0.000613715
NDUFS5,0.0006136746
KATNIP,0.00061299436
DAP3,0.00061281805
CPS1,0.0006127527
PGM1,0.0006125892
REX1BD,0.00061223115
SCNN1A,0.00061221025
AGTR1,0.0006114234
RPS24,0.0006112722
PGRMC1,0.0006110165
NPM3,0.00060985994
STRN4,0.0006091874
PAX6,0.0006091098
FOXH1,0.00060887827
ISG20,0.00060854614
RABGAP1L,0.00060829235
GLG1,0.00060806156
DNALI1,0.0006075407
SRRT,0.00060705736
CEBPA,0.0006066485
PIK3C2G,0.00060642546
GATA3,0.0006063174
PRCP,0.00060531957
AUP1,0.0006048648
MAG,0.0006041875
GRK3,0.00060411263
FPGS,0.0006038884
FAF2,0.0006033687
GRHPR,0.000602912
ATP6V1E1,0.00060256
DENND10,0.00060128304
VAV3,0.0006008764
PTOV1,0.0006002308
TYK2,0.00059934135
DLD,0.0005984501
NAT10,0.0005983419
NUDT2,0.0005983403
CDC42BPB,0.00059599517
HLA-DPB1,0.00059590006
RPS12,0.00059564126
ZNF652,0.00059516117
KIF20B,0.0005942141
YARS2,0.000593088
KLF4,0.0005914172
SYN1,0.00059023756
RTF1,0.0005896757
FKBP11,0.0005891221
HAX1,0.0005890568
ZMAT3,0.0005879792
DCAF15,0.00058785535
WDR37,0.00058774976
UBA52,0.00058438565
PHF14,0.0005840742
THADA,0.00058298965
TTC37,0.00058292755
SYNGR3,0.0005829098
CRELD2,0.0005828456
PTPRJ,0.0005826837
GNPAT,0.0005821969
VAMP5,0.00058085925
COX6C,0.000580642
DDX39A,0.0005803409
CYP27A1,0.00058030244
STC2,0.0005799411
RBM8A,0.00057966594
HNRNPA3,0.0005791854
CASP7,0.0005788426
ARMC8,0.0005787988
HSPBP1,0.0005781571
TMEM242,0.00057727506
SIRT7,0.0005764707
SLC44A4,0.0005761969
PLTP,0.0005758764
USO1,0.0005756776
H2AX,0.00057558354
CYP4F3,0.0005754756
SLC49A3,0.00057478034
C9orf16,0.00057457783
ALKBH1,0.0005745409
PARP12,0.00057404226
KLHL12,0.00057388295
ACOX2,0.0005728546
MRPL12,0.0005723968
ATP6V0B,0.0005722611
TSPAN1,0.0005720603
