gene,anomaly_score,hazard_ratio,fdr,mean_expression,log_hazard,anomaly_norm,hazard_norm,fdr_norm,target_score,risk_type
GRK4,0.00012299092,1.41209317121937,0.115787991338986,22193.5631305297,0.3450731221769573,0.0001808077201939741,0.6955340960428713,0.11484675882051137,0.5808681449425539,High-risk (oncogenic)
NBR1,0.00013701618,1.41500593871036,0.117358834205906,513851.119730147,0.347133728054846,0.00020142963384974576,0.6968779227207018,0.11641932604961139,0.5806600263049402,High-risk (oncogenic)
CAMSAP1,0.00011302424,1.4127433160326,0.116571371086597,124657.786128277,0.3455334283416811,0.0001661533027789168,0.6958342852788447,0.1156309985079915,0.5803694400736321,High-risk (oncogenic)
TEX261,0.00037843487,1.41379331248516,0.117752020722467,584963.740794919,0.34627638457317994,0.000556397411992148,0.6963188051062712,0.1168129441790174,0.5800622583392459,High-risk (oncogenic)
PHKA2,0.000120431854,1.4126044567533,0.116836708081446,95568.8588355092,0.3454351329879202,0.0001770450207437378,0.6957701818420312,0.11589662677136169,0.5800506000914133,High-risk (oncogenic)
ATM,0.00019903643,1.41716542425163,0.119658967766206,57294.3492185305,0.34865869648578657,0.0002926205451347681,0.6978724327734671,0.11872198453675412,0.5794430687818478,High-risk (oncogenic)
PTPRB,0.00015595442,1.41559287534334,0.118960850545952,57599.4425571682,0.34754843651757683,0.00022927530302609483,0.6971483753587924,0.11802310097191072,0.5793545496899077,High-risk (oncogenic)
TES,0.00043299329,1.41898846992373,0.120972682365813,427766.007259742,0.3499442726506935,0.0006366168893091692,0.69871082286316,0.1200371412409908,0.5793102985114784,High-risk (oncogenic)
SLC35C1,7.786964e-05,1.4131188417564,0.117752020722467,170863.109247191,0.3457992061503937,0.0001144640559625875,0.6960076126062855,0.1168129441790174,0.5793091324832307,High-risk (oncogenic)
RAB5A,0.00022730314,1.41782296347605,0.120657637476112,440318.157055593,0.34912257086287896,0.0003341822454492534,0.6981749490235603,0.11972175051689461,0.5787873807521149,High-risk (oncogenic)
IPP,0.0001197557,1.41180985438899,0.117883718089353,111009.818268145,0.3448724659725754,0.0001760508438510453,0.695403237850427,0.11694478611412434,0.5786345025801538,High-risk (oncogenic)
RAD50,0.00012561791,1.41028111300223,0.117883718089353,214822.843941073,0.34378905544190286,0.00018467029108068677,0.6946966903297278,0.11694478611412434,0.5779365745066842,High-risk (oncogenic)
TENT5A,0.000439336,1.41150594024616,0.11891454728605,147982.801610075,0.3446571771660017,0.0006459428353496419,0.695262836988323,0.11797674688350648,0.5779320329401663,High-risk (oncogenic)
PCSK7,0.000103044345,1.4110147530021,0.118576715464012,27433.3583596102,0.34430912852267836,0.0001514794548086355,0.6950358566340984,0.11763854421316189,0.5775487918757451,High-risk (oncogenic)
C21orf62,0.00018223953,1.41563449150851,0.121025796994825,962.967527807688,0.34757783448515805,0.0002679233757785757,0.6971675472797956,0.1200903141755529,0.5773451564800212,High-risk (oncogenic)
DPEP3,0.00012372086,1.41357776490416,0.11999826960456,1134.96791906397,0.3461239124883225,0.00018188098084325217,0.6962193702471093,0.1190616588370965,0.5773395923908561,High-risk (oncogenic)
GGCX,0.00013975755,1.41372313016431,0.120183628373391,144050.83824796,0.3462267421945852,0.00020546038233059554,0.6962864307675282,0.1192472210799079,0.5772446700699508,High-risk (oncogenic)
LPAR6,0.00016249284,1.41449499150576,0.120895199351054,175494.143895057,0.34677257093014086,0.0002388890094875202,0.6966423936540932,0.11995957317076059,0.5769217094928202,High-risk (oncogenic)
